timestamp,method,url,status_code,response_time_ms,bytes_sent,ip,user_agent
2024-01-01 00:06:21,POST,/health,200,119,16660,192.168.5.12,Edge/120
2024-01-01 00:07:29,GET,/health,200,42,36855,192.168.6.4,Firefox/121
2024-01-01 00:11:24,GET,/docs,503,112,396,192.168.8.116,Googlebot/2.1
2024-01-01 00:49:18,POST,/api/products,200,227,29211,192.168.2.163,PostmanRuntime/7.36
2024-01-01 00:56:35,GET,/signup,200,5,18659,192.168.2.84,Firefox/121
2024-01-01 01:15:10,GET,/docs,200,39,33957,192.168.10.77,Python-requests/2.31
2024-01-01 01:18:23,POST,/settings,401,5,474,192.168.4.201,curl/8.4
2024-01-01 01:28:03,GET,/settings,200,80,45342,192.168.8.169,Edge/120
2024-01-01 02:15:07,GET,/api/cart,200,35,3972,192.168.8.212,Chrome/120
2024-01-01 02:32:51,GET,/login,401,152,279,192.168.9.153,Googlebot/2.1
2024-01-01 02:43:36,GET,/profile,200,79,7267,192.168.1.40,Chrome/120
2024-01-01 03:57:03,POST,/api/search,200,25,8959,192.168.8.84,Firefox/121
2024-01-01 03:59:17,GET,/api/users,200,37,22111,192.168.4.246,Firefox/121
2024-01-01 04:20:12,GET,/settings,200,62,18933,192.168.10.210,Python-requests/2.31
2024-01-01 04:44:51,GET,/api/users,201,148,38069,192.168.5.153,Firefox/121
2024-01-01 05:10:45,GET,/health,200,30,9842,192.168.1.206,Edge/120
2024-01-01 05:59:08,GET,/health,301,95,10568,192.168.4.209,PostmanRuntime/7.36
2024-01-01 06:07:24,GET,/docs,200,76,10136,192.168.2.122,Python-requests/2.31
2024-01-01 06:09:38,GET,/api/orders,200,423,16400,192.168.4.27,PostmanRuntime/7.36
2024-01-01 06:11:12,GET,/api/notifications,200,140,45240,192.168.5.20,Googlebot/2.1
2024-01-01 06:18:26,GET,/api/notifications,200,241,7295,192.168.5.81,Googlebot/2.1
2024-01-01 06:29:39,GET,/health,200,66,2670,192.168.8.251,Edge/120
2024-01-01 06:41:22,GET,/health,200,310,5655,192.168.9.68,Safari/17
2024-01-01 06:51:48,POST,/login,200,43,37283,192.168.7.239,Edge/120
2024-01-01 07:00:12,GET,/api/products,304,203,10771,192.168.2.120,Firefox/121
2024-01-01 07:03:35,GET,/api/auth/token,500,141,225,192.168.10.183,Firefox/121
2024-01-01 07:10:11,GET,/api/search,200,220,27649,192.168.1.102,Edge/120
2024-01-01 07:13:56,GET,/,403,95,108,192.168.5.54,Safari/17
2024-01-01 07:16:17,GET,/api/search,200,460,32408,192.168.6.198,PostmanRuntime/7.36
2024-01-01 07:20:10,GET,/api/cart,200,5,28320,192.168.7.142,PostmanRuntime/7.36
2024-01-01 07:31:38,GET,/static/js/app.js,301,31,35177,192.168.3.64,curl/8.4
2024-01-01 07:32:34,GET,/signup,200,95,31151,192.168.9.248,Safari/17
2024-01-01 07:33:15,GET,/static/css/main.css,200,43,45956,192.168.5.108,PostmanRuntime/7.36
2024-01-01 07:33:44,GET,/api/checkout,200,464,2856,192.168.6.196,PostmanRuntime/7.36
2024-01-01 07:34:50,PUT,/api/orders,200,84,7627,192.168.7.222,Edge/120
2024-01-01 07:36:33,GET,/api/orders,400,127,262,192.168.7.250,Edge/120
2024-01-01 07:41:05,GET,/api/products,200,365,33235,192.168.1.117,curl/8.4
2024-01-01 07:41:14,GET,/api/notifications,200,153,30097,192.168.3.180,curl/8.4
2024-01-01 07:53:07,GET,/api/products,200,187,44560,192.168.8.124,PostmanRuntime/7.36
2024-01-01 08:21:41,GET,/images/logo.png,200,50,37750,192.168.10.23,curl/8.4
2024-01-01 08:32:41,GET,/api/auth/token,404,239,233,192.168.6.252,Safari/17
2024-01-01 08:51:46,POST,/api/products,200,18,6254,192.168.10.235,Safari/17
2024-01-01 08:58:06,PUT,/api/analytics,400,116,107,192.168.8.158,Firefox/121
2024-01-01 08:59:31,GET,/api/products,200,194,20463,192.168.2.75,Safari/17
2024-01-01 09:02:15,GET,/api/orders,200,141,43596,192.168.4.150,curl/8.4
2024-01-01 09:04:30,GET,/api/analytics,201,123,40202,192.168.9.187,PostmanRuntime/7.36
2024-01-01 09:05:21,GET,/api/orders,200,44,46985,192.168.10.75,curl/8.4
2024-01-01 09:10:11,GET,/api/users,200,14,37082,192.168.3.19,Googlebot/2.1
2024-01-01 09:10:57,GET,/api/notifications,200,72,27046,192.168.1.55,Googlebot/2.1
2024-01-01 09:14:20,PUT,/api/checkout,200,506,31426,192.168.4.148,Googlebot/2.1
2024-01-01 09:15:55,GET,/docs,200,80,37416,192.168.8.226,PostmanRuntime/7.36
2024-01-01 09:20:41,GET,/api/checkout,400,31,488,192.168.7.88,curl/8.4
2024-01-01 09:23:03,GET,/profile,200,9,27493,192.168.7.143,Googlebot/2.1
2024-01-01 09:23:44,GET,/login,200,25,13437,192.168.8.75,Chrome/120
2024-01-01 09:30:12,POST,/signup,200,12,20276,192.168.7.65,Python-requests/2.31
2024-01-01 09:32:44,GET,/dashboard,200,31,33065,192.168.8.131,Python-requests/2.31
2024-01-01 09:35:14,DELETE,/static/css/main.css,200,164,22339,192.168.7.40,Safari/17
2024-01-01 09:35:47,GET,/,200,66,41533,192.168.10.114,curl/8.4
2024-01-01 09:37:54,GET,/api/search,200,75,36378,192.168.6.219,Edge/120
2024-01-01 09:40:32,GET,/profile,200,122,30702,192.168.1.233,Edge/120
2024-01-01 09:42:16,GET,/settings,500,64,320,192.168.6.212,Googlebot/2.1
2024-01-01 09:43:59,POST,/api/orders,304,160,45589,192.168.6.174,Python-requests/2.31
2024-01-01 09:46:08,GET,/docs,200,28,26996,192.168.4.52,Safari/17
2024-01-01 09:51:19,GET,/,401,30,161,192.168.3.121,Edge/120
2024-01-01 09:53:49,GET,/login,200,113,42146,192.168.7.43,Chrome/120
2024-01-01 09:56:25,POST,/health,200,39,4814,192.168.8.39,Chrome/120
2024-01-01 09:57:33,GET,/api/search,200,14,28246,192.168.7.125,PostmanRuntime/7.36
2024-01-01 09:58:18,GET,/api/cart,200,303,11041,192.168.1.146,Safari/17
2024-01-01 10:00:40,GET,/static/js/app.js,200,14,48382,192.168.10.67,Googlebot/2.1
2024-01-01 10:02:11,POST,/dashboard,200,83,35628,192.168.9.223,Edge/120
2024-01-01 10:02:54,GET,/health,200,70,12075,192.168.3.63,Chrome/120
2024-01-01 10:07:12,GET,/dashboard,200,64,49291,192.168.2.243,Firefox/121
2024-01-01 10:07:40,GET,/api/cart,200,6,35404,192.168.9.23,Python-requests/2.31
2024-01-01 10:10:39,GET,/profile,200,122,3630,192.168.7.66,Python-requests/2.31
2024-01-01 10:10:39,POST,/login,200,352,49639,192.168.4.226,Edge/120
2024-01-01 10:19:28,GET,/dashboard,200,356,22033,192.168.2.246,Firefox/121
2024-01-01 10:24:17,GET,/api/products,403,269,129,192.168.9.24,Googlebot/2.1
2024-01-01 10:28:12,GET,/images/logo.png,301,44,34943,192.168.10.247,Python-requests/2.31
2024-01-01 10:29:40,POST,/api/orders,201,169,45847,192.168.1.89,Googlebot/2.1
2024-01-01 10:31:21,POST,/login,200,80,22697,192.168.4.218,Googlebot/2.1
2024-01-01 10:45:30,GET,/settings,200,158,22939,192.168.8.184,Firefox/121
2024-01-01 10:46:56,GET,/api/orders,200,30,33986,192.168.3.13,Python-requests/2.31
2024-01-01 10:47:55,POST,/dashboard,404,17,207,192.168.7.40,Safari/17
2024-01-01 10:52:56,GET,/static/js/app.js,200,25,16885,192.168.8.116,PostmanRuntime/7.36
2024-01-01 10:54:26,GET,/profile,200,174,31409,192.168.3.40,Python-requests/2.31
2024-01-01 10:56:06,GET,/api/auth/token,404,19,486,192.168.1.84,Edge/120
2024-01-01 10:57:32,GET,/api/products,200,128,3216,192.168.7.227,Python-requests/2.31
2024-01-01 10:57:35,GET,/dashboard,200,133,41887,192.168.8.109,curl/8.4
2024-01-01 10:58:10,POST,/signup,200,70,7192,192.168.8.87,Googlebot/2.1
2024-01-01 11:00:58,GET,/api/analytics,200,592,1661,192.168.3.144,Safari/17
2024-01-01 11:03:19,GET,/login,200,41,42993,192.168.7.163,PostmanRuntime/7.36
2024-01-01 11:08:14,PUT,/static/css/main.css,200,61,8156,192.168.5.89,Firefox/121
2024-01-01 11:11:17,GET,/api/cart,200,15,12413,192.168.7.117,Firefox/121
2024-01-01 11:12:07,GET,/api/users,200,29,14875,192.168.7.135,Googlebot/2.1
2024-01-01 11:14:20,PUT,/profile,200,134,47857,192.168.3.231,Edge/120
2024-01-01 11:16:45,GET,/login,304,5,27816,192.168.7.134,Firefox/121
2024-01-01 11:18:58,POST,/api/notifications,400,21,433,192.168.7.215,Firefox/121
2024-01-01 11:26:10,GET,/api/notifications,200,84,5525,192.168.2.141,Googlebot/2.1
2024-01-01 11:29:10,GET,/static/js/app.js,200,20,41774,192.168.1.161,Safari/17
2024-01-01 11:37:22,GET,/api/products,200,126,47369,192.168.6.100,Googlebot/2.1
2024-01-01 11:37:55,GET,/signup,200,93,35028,192.168.3.17,Python-requests/2.31
2024-01-01 11:41:31,GET,/api/notifications,200,127,37763,192.168.10.242,Chrome/120
2024-01-01 11:41:54,POST,/dashboard,200,267,23283,192.168.10.162,PostmanRuntime/7.36
2024-01-01 11:44:12,GET,/api/notifications,404,178,476,192.168.9.98,Safari/17
2024-01-01 11:45:42,GET,/api/search,400,183,325,192.168.5.62,Firefox/121
2024-01-01 11:48:29,GET,/api/auth/token,200,110,4012,192.168.2.118,Safari/17
2024-01-01 11:55:02,GET,/api/orders,404,419,269,192.168.9.95,Googlebot/2.1
2024-01-01 11:56:03,POST,/profile,200,5,30199,192.168.8.144,Edge/120
2024-01-01 11:57:56,GET,/api/search,200,36,49890,192.168.9.48,Googlebot/2.1
2024-01-01 11:58:22,GET,/static/js/app.js,200,5,48088,192.168.10.214,Safari/17
2024-01-01 12:02:47,POST,/login,200,74,10040,192.168.10.194,Edge/120
